date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:14	2439/2439	---MC-	200	added ('OK')	text/xml	date:Thu,%2010%20May%202018%2017:57:12%20GMT	https://mobiledirectflooring.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmobiledirectflooring.com%2Ffinancing-for-flooring%2F&format=xml	mobiledirectflooring.com/wp-json/oembed/1.0/embed3ff8	(from https://mobiledirectflooring.com/financing-for-flooring/)
13:57:15	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:57:14%20GMT	https://mobiledirectflooring.com/financing-for-flooring	mobiledirectflooring.com/financing-for-flooring	(from https://mobiledirectflooring.com/financing-for-flooring/)
13:57:15	116192/116192	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Mar%202018%2005:47:52%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/03/dog-and-child-in-the-carpet.jpg	mobiledirectflooring.com/wp-content/uploads/2018/03/dog-and-child-in-the-carpet.jpg	(from https://mobiledirectflooring.com/financing-for-flooring/)
13:57:16	100547/100547	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Apr%202018%2000:28:18%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/Tile-2.png	mobiledirectflooring.com/wp-content/uploads/2018/04/Tile-2.png	(from https://mobiledirectflooring.com/financing-for-flooring/)
13:57:17	100465/100465	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Apr%202018%2000:28:15%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/Hardwood-2.png	mobiledirectflooring.com/wp-content/uploads/2018/04/Hardwood-2.png	(from https://mobiledirectflooring.com/financing-for-flooring/)
13:57:19	170729/170729	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Apr%202018%2000:24:19%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/tile-hardwood-looking.jpg	mobiledirectflooring.com/wp-content/uploads/2018/04/tile-hardwood-looking.jpg	(from https://mobiledirectflooring.com/financing-for-flooring/)
13:57:20	249751/249751	---M--	200	added ('OK')	application/javascript	date:Fri,%2004%20May%202018%2013:49:09%20GMT	https://mobiledirectflooring.com/wp-content/themes/Divi/js/custom.min.js?ver=3.0.106	mobiledirectflooring.com/wp-content/themes/Divi/js/custom.min4f62.js	(from https://mobiledirectflooring.com/financing-for-flooring/)
13:57:20	1220/1220	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Apr%202018%2017:01:29%20GMT	https://mobiledirectflooring.com/wp-content/plugins/bloom/core/admin/js/common.js?ver=3.1	mobiledirectflooring.com/wp-content/plugins/bloom/core/admin/js/common128b.js	(from https://mobiledirectflooring.com/financing-for-flooring/)
13:57:21	0/-1	---M--	302	error ('')			http://mobiledirectflooring.com/wp-content/cache/wpfc-minified/d65orenb/fqs4g.css	mobiledirectflooring.com/wp-content/cache/wpfc-minified/d65orenb/fqs4g.37.delayed	(from https://mobiledirectflooring.com/carpet-flooring/)
13:57:21	0/-1	---M--	302	error ('')			http://mobiledirectflooring.com/wp-content/cache/wpfc-minified/folashww/fqs4g.css	mobiledirectflooring.com/wp-content/cache/wpfc-minified/folashww/fqs4g.38.delayed	(from https://mobiledirectflooring.com/carpet-flooring/)
